occupation_code,level,parent_code,title,description,skill_level,source,source_year
721,minor,72,"SHEET AND STRUCTURAL METAL WORKERS, MOULDERS AND WELDERS AND",,,MASCO 2020,2020
7211,unit,721,METAL MOULDERS AND COREMAKERS,Metal Moulders and Coremakers make moulds and cores for casting metal.,,MASCO 2020,2020
7212,unit,721,WELDERS AND FLAME CUTTERS,"Welders and Flame Cutters weld and cut metal parts using gas flame, or an electric arc and other sources of heat to melt and cut or to melt and fuse metal.",,MASCO 2020,2020
7213,unit,721,SHEET-METAL WORKERS,"Sheet-Metal Workers make, install and repair articles and parts of articles of sheet metal such as stainless steel, copper, tin, brass, aluminium, zinc or galvanised iron.",,MASCO 2020,2020
7214,unit,721,STRUCTURAL-METAL PREPARERS AND ERECTORS,"Structural-Metal Preparers and Erectors assemble, erect and dismantle structural metal frames of buildings and other structures.",,MASCO 2020,2020
7215,unit,721,RIGGERS AND CABLE SPLICERS,"Riggers and Cable Splicers assemble rigging gear to move and position equipment and structural components, or install and maintain cables, ropes and wires on construction sites, buildings or other structures.",,MASCO 2020,2020
722,minor,72,"BLACKSMITHS, TOOLMAKERS AND RELATED TRADES WORKERS",,,MASCO 2020,2020
7221,unit,722,"BLACKSMITHS, HAMMERSMITHS AND FORGING-PRESS WORKERS","Blacksmiths, Hammersmiths and Forging-Press Workers draw wire, hammer and forge bars, rods, ingots and plates of iron, steel or other metals to make and repair various kinds of tools, metal articles, pieces of equipment, agricultural and related implements.",,MASCO 2020,2020
7222,unit,722,TOOLMAKERS AND RELATED WORKERS,"Toolmakers and Related Workers make and repair tools, sports guns, locks, dies, patterns and other metal articles, as well as make engines or machinery components, and parts thereof, using hand and machine tools to work metal to fine tolerances.",,MASCO 2020,2020
7223,unit,722,METAL WORKING MACHINE TOOL SETTERS AND OPERATORS,Metal Working Machine Tool Setters and Operators set and/or operate various working machine tools.,,MASCO 2020,2020
7224,unit,722,"METAL POLISHERS, WHEEL GRINDERS AND TOOL SHARPENERS","Metal Polishers, Wheel Grinders and Tool Sharpeners grind and polish metal surfaces and sharpen tools.",,MASCO 2020,2020
723,minor,72,MACHINERY MECHANICS AND REPAIRERS,,,MASCO 2020,2020
7231,unit,723,MOTOR VEHICLE MECHANICS AND REPAIRERS,"Motor Vehicle Mechanics and Repairers install, service and repair motor vehicles.",,MASCO 2020,2020
7232,unit,723,AIRCRAFT ENGINE MECHANICS AND REPAIRERS,"Aircraft Engine Mechanics and Repairers repair and maintain the operating condition of aircraft engines, including helicopter engines.",,MASCO 2020,2020
7233,unit,723,AGRICULTURAL AND INDUSTRIAL MACHINERY MECHANICS AND REPAIRERS,"Agricultural and Industrial Machinery Mechanics and Repairers repair, install, adjust or maintain agricultural and industrial production and processing machinery or refinery and pipeline distribution systems.",,MASCO 2020,2020
7234,unit,723,BICYCLE AND RELATED REPAIRERS,"Bicycle and Related Repairers install, maintain, service and repair mechanical and related equipment of bicycles, trishaws, baby carriages, wheelchairs and similar non-motorised transport.",,MASCO 2020,2020
7239,unit,723,MACHINERY MECHANICS AND REPAIRERS NOT ELSEWHERE CLASSIFIED,"Machinery Mechanics and Repairers Not Elsewhere Classified install, maintain, service and repair mechanical and related equipment for marine vessels, trains and the like.",,MASCO 2020,2020
73,sub_major,7,HANDICRAFT AND PRINTING WORKERS,,,MASCO 2020,2020
731,minor,73,HANDICRAFT WORKERS,,,MASCO 2020,2020
7311,unit,731,PRECISION INSTRUMENT MAKERS AND REPAIRERS,"Precision Instrument Makers and Repairers make, repair and calibrate mechanical watches, clocks, nautical, meteorological, optical, surgical, dental, orthopaedic and other precision instruments and equipment.",,MASCO 2020,2020
7312,unit,731,MUSICAL INSTRUMENT MAKERS AND TUNERS,"Musical Instrument Makers and Tuners make, repair, adjust and restore musical instruments and tune them to the required pitch using hand or tools. They usually specialise in one type of instrument.",,MASCO 2020,2020
7313,unit,731,JEWELLERY AND PRECIOUS METAL WORKERS,"Jewellery and Precious Metal Workers design, fabricate, adjust, repair or appraise jewellery, ceremonial or religious items, gold, silver, other precious metals or gems. They cut, file, polish and set stones including gems and diamonds, and engrave designs on jewellery and precious metal articles. They cut and polish diamonds for industrial purposes.",,MASCO 2020,2020
7314,unit,731,POTTERS AND RELATED WORKERS,"Potters and Related Workers make pottery, porcelain ware, bricks and tiles.",,MASCO 2020,2020
7315,unit,731,"GLASS MAKERS, CUTTERS, GRINDERS AND FINISHERS","Glass Makers, Cutters, Grinders and Finishers blow, mould, press, roll and shape molten glass, and cut, grind and polish glass.",,MASCO 2020,2020
7316,unit,731,"SIGN WRITERS, DECORATIVE PAINTERS, ENGRAVERS AND ETCHERS","Sign Writers, Decorative Painters, Engravers and Etchers design, illustrate and decorate silver, gold, steel or glass and other materials for personal, household use or for decorative purposes.",,MASCO 2020,2020
7317,unit,731,"HANDICRAFT WORKERS OF WOOD, BASKETRY AND RELATED MATERIALS","Handicraft Workers of Wood, Basketry and Related Materials apply traditional and/or modern techniques to prepare articles from wood, straw, rattan, reeds, stone, clay, shells and other materials, and carve, mould, assemble, weave or paint and decorate various articles for personal or household use or for decorative purposes.",,MASCO 2020,2020
7318,unit,731,"HANDICRAFT WORKERS OF TEXTILE, LEATHER AND RELATED MATERIALS","Handicraft Workers of Textile, Leather and Related Materials apply traditional and/or modern techniques to produce various articles for personal or household use, as well as for decorative purposes.",,MASCO 2020,2020
7319,unit,731,HANDICRAFT WORKERS NOT ELSEWHERE CLASSIFIED,"This unit group includes Handicraft Workers Not Elsewhere Classified in minor group 731: Handicraft Workers. As an example, this group include Badge Maker, Craftsman, Metal Toymaker and Accessories Maker",,MASCO 2020,2020
732,minor,73,PRINTING TRADES WORKERS,,,MASCO 2020,2020
7321,unit,732,PRE-PRESS WORKERS,"Pre-Press Workers proof, format, set and compose text and graphics in a form suitable for the various printing processes.",,MASCO 2020,2020
7322,unit,732,PRINTERS,"Printers print from stencils and operate printing equipment and maintain the machines before, during and after use.",,MASCO 2020,2020
7323,unit,732,PRINT FINISHING AND BINDING WORKERS,Print Finishing and Binding Workers bind books and other publications by hand or machine and finish printed products.,,MASCO 2020,2020
7324,unit,732,PRINTING AND PHOTO ENGRAVERS AND ETCHERS,"Printing and Photo Engravers and Etchers engrave lithographic stones and printing plates, rollers, dies and blocks by various processes, develop and process photographic film and make prints.",,MASCO 2020,2020
74,sub_major,7,ELECTRICAL AND ELECTRONIC TRADES WORKERS,,,MASCO 2020,2020
741,minor,74,ELECTRICAL EQUIPMENT INSTALLERS AND REPAIRERS,,,MASCO 2020,2020
7411,unit,741,BUILDING AND RELATED ELECTRICIANS,Building and Related Electricians service and repair electrical wiring systems in buildings.,,MASCO 2020,2020
7412,unit,741,ELECTRICAL MECHANICS AND FITTERS,"Electrical Mechanics and Fitters fit, adjust, install, service and repair electrical machinery and other electrical apparatus and equipment in buildings, factories, workshops or other places.",,MASCO 2020,2020
7413,unit,741,ELECTRICAL LINE INSTALLERS AND REPAIRERS,"Electrical Line Installers and Repairers install and repair power, telephone, telegraph and television lines and cables.",,MASCO 2020,2020
742,minor,74,ELECTRONICS AND TELECOMMUNICATIONS INSTALLERS AND REPAIRERS,,,MASCO 2020,2020
7421,unit,742,ELECTRONICS MECHANICS AND SERVICES,"Electronics Mechanics and Services fit, maintain, adjust and repair electronic equipment and machines such as commercial and office machines and electronic control systems.",,MASCO 2020,2020
7422,unit,742,INFORMATION AND COMMUNICATIONS TECHNOLOGY INSTALLERS AND,"Information and Communications Technology Installers and Services install, service and maintain telecommunications equipment, data transmission equipment, cables, antennae, and repair, fit and maintain computer equipment.",,MASCO 2020,2020
75,sub_major,7,FOOD PROCESSING AND RELATED WORKERS,,,MASCO 2020,2020
751,minor,75,FOOD PROCESSING AND RELATED WORKERS,,,MASCO 2020,2020
7511,unit,751,MEAT AND FISH PROCESSING WORKERS AND RELATED FOOD PREPARERS,"Meat and Fish Processing Workers and Related Food Preparers slaughter animals, clean, cut and dress meat and fish, and prepare related food items or preserve meat, fish and other food products by drying, salting or smoking.",,MASCO 2020,2020
7512,unit,751,"BAKERS, PASTRY, PASTA AND CONFECTIONERY MAKERS","Bakers, Pastry, Pasta and Confectionery Makers make various kinds of bread, buns, cakes and other flour products, as well as handmade chocolate and sugar confectionery.",,MASCO 2020,2020
7513,unit,751,DAIRY-PRODUCT MAKERS,"Dairy-Product Makers process butter and various types of cheese, cream or other dairy products.",,MASCO 2020,2020
7514,unit,751,"FRUIT, VEGETABLE AND RELATED PRESERVERS","Fruit, Vegetable and Related Preservers process or preserve fruit, nuts and related foods in various ways including cooking, drying, salting, or juice or oil extraction.",,MASCO 2020,2020
7515,unit,751,FOOD AND BEVERAGE TASTERS AND GRADERS,"Food and Beverage Tasters and Graders inspect, taste and grade various types of agricultural products, food and beverages.",,MASCO 2020,2020
7516,unit,751,TOBACCO PREPARERS AND TOBACCO PRODUCT MAKERS,Tobacco Preparers and Tobacco Product Makers prepare tobacco leaves and make various tobacco products.,,MASCO 2020,2020
76,sub_major,7,OTHER CRAFT WORKERS,,,MASCO 2020,2020
761,minor,76,"WOOD TREATERS, CABINET-MAKERS AND RELATED TRADES WORKERS",,,MASCO 2020,2020
7611,unit,761,WOOD TREATERS,Wood Treaters season and preserve wood.,,MASCO 2020,2020
7612,unit,761,CABINET-MAKERS AND RELATED WORKERS,"Cabinet-Makers and Related Workers make, decorate and repair wooden furniture, wheels or other wooden parts of vehicles, and other items such as pipes, shoes or racquets, and bats for sports using woodworking machines and specialised hand tools.",,MASCO 2020,2020
7613,unit,761,WOODWORKING-MACHINE TOOL SETTERS AND OPERATORS,"Woodworking-Machine Tool Setters and Operators set up or operate or monitor automatic or semi-automatic woodworking machines to fabricate or repair wooden parts of furniture, fixtures and other wood products.",,MASCO 2020,2020
762,minor,76,GARMENT AND RELATED WORKERS,,,MASCO 2020,2020
7621,unit,762,"TAILORS, DRESSMAKERS, FURRIERS AND HATTERS","Tailors, Dressmakers, Furriers and Hatters make suits and other clothing from cloth, leather or other materials, and repair tailored clothing or participate in the manufacture of ready-to- wear garments, or alter, repair and make hats and wigs.",,MASCO 2020,2020
7622,unit,762,GARMENT AND RELATED PATTERN-MAKERS AND CUTTERS,"Garment and Related Pattern-Makers and Cutters mark and cut textile, leather and other materials in the manufacture of garments, gloves and miscellaneous products.",,MASCO 2020,2020
7623,unit,762,SHOEMAKERS AND RELATED WORKERS,"Shoemakers and Related Workers make and repair standard or special footwear, hats and gloves, make natural or synthetic leather articles such as luggage, handbags and belts, or participate in the manufacture of related goods.",,MASCO 2020,2020
7624,unit,762,UPHOLSTERERS AND RELATED WORKERS,"Upholsterers and Related Workers install, repair and replace upholstery of furniture, fixtures, orthopaedic appliances, seats, panels, vinyl and other furnishings of automobiles, railway coaches, aircraft and ship. They also make and repair cushions, quilt and mattresses.",,MASCO 2020,2020
7625,unit,762,"PELT DRESSERS, TANNERS AND FELLMONGERS","Pelt Dressers, Tanners and Fellmongers prepare hides and skins for making leather products.",,MASCO 2020,2020
